Start,Border,End
1347876.01,1352876.01,1357876.01
1437876.01,1442876.01,1447876.01
1482876.01,1487876.01,1492876.01
1357876.01,1362876.01,1367876.01
1372876.01,1377876.01,1382876.01
1397876.01,1402876.01,1407876.01
1402876.01,1407876.01,1412876.01
1417876.01,1422876.01,1427876.01
1422876.01,1427876.01,1432876.01
1427876.01,1432876.01,1437876.01
1432876.01,1437876.01,1442876.01
1442876.01,1447876.01,1452876.01
1452876.01,1457876.01,1462876.01
1457876.01,1462876.01,1467876.01
1467876.01,1472876.01,1477876.01
1477876.01,1482876.01,1487876.01
1492876.01,1497876.01,1502876.01
