user,total_actual_probes,total_5_seconds_probes,reduction_per
1,31,253,87.7470355731225
2,18,253,92.8853754940711
3,31,253,87.7470355731225
4,38,252,84.9206349206349
5,36,254,85.8267716535433
6,25,253,90.1185770750988
7,30,254,88.1889763779528
8,27,254,89.3700787401575
9,32,254,87.4015748031496
10,23,254,90.9448818897638
11,26,254,89.7637795275591
12,30,254,88.1889763779528
13,25,254,90.1574803149606
14,21,254,91.7322834645669
15,27,254,89.3700787401575
16,26,254,89.7637795275591
17,27,253,89.3280632411067
18,23,254,90.9448818897638
19,38,254,85.0393700787402
20,32,252,87.3015873015873
21,31,254,87.7952755905512
22,26,254,89.7637795275591
23,32,254,87.4015748031496
24,29,229,87.3362445414847
25,34,254,86.6141732283465
26,23,254,90.9448818897638
27,29,254,88.5826771653543
28,24,254,90.5511811023622
29,26,254,89.7637795275591
30,29,254,88.5826771653543
